"param","est","est_med","ci_high","ci_low","param_type","snum"
"Recovery period",1.90087557052136,1.90008172753798,1.99582987981017,1.80955444388558,"Recovery period",5
"Incubation period",1.35342985748671,1.32842837335504,1.71438497637414,1.15129761092985,"Incubation period",5
"Probability of symptoms",0.396966289323153,0.39563076115643,0.49852262745157,0.304077759554362,"Probability of symptoms",5
"Pr_S",0.424404536171176,0.424123846550783,0.389867304326832,0.458015855753926,"Initial probability",5
"Pr_Ia",0.036511595001635,0.0283528800086394,6.53554674215238e-05,0.110939374303727,"Initial probability",5
"Pr_Is",0.0245472898561459,0.020109676680445,4.92297784217939e-05,0.0710796321694505,"Initial probability",5
"Pr_R",0.429442286227653,0.434374520324468,0.36130596465706,0.475195191699413,"Initial probability",5
"Pr_E",0.0850942927433897,0.0915630751806338,0.00913860472273155,0.132699878516813,"Pr_E",5
"Intra-household
symptomatic",0.0468741822957811,0.0482884625859247,0.0712230847597816,0.0262618999609678,"Infection probability",6
"Intra-household
asymptomatic",0.0299779214508725,0.0324881414236891,0.0701000400659179,0.00830407351803049,"Infection probability",6
"OR - asmpt/symp",0.628400362576529,0.666278879146465,1.97272317652951,0.153840807926978,"OR - asmpt/symp",6
"Extra-household",0.00800802627164261,0.00809440694893623,0.0107616551418211,0.00564346866905946,"Infection probability",6
"Recovery period",2.00058513215884,1.9994098957039,2.10495342701814,1.89964118349945,"Recovery period",6
"Incubation period",1.57149618732575,1.55254468471563,1.97979099731954,1.26677248595203,"Incubation period",6
"Probability of symptoms",0.407345890720873,0.406540236741347,0.50361269813581,0.315956925393516,"Probability of symptoms",6
"Pr_S",0.421396857917366,0.421424432974375,0.384662287833065,0.456946885049793,"Initial probability",6
"Pr_Ia",0.0149357158780292,0.00935401770997671,2.03635317268815e-05,0.0572281129210434,"Initial probability",6
"Pr_Is",0.0341228463084412,0.0340079240471715,0.000652132233520136,0.0706906666436754,"Initial probability",6
"Pr_R",0.455668557508775,0.457161422614539,0.410847378697855,0.491521257348221,"Initial probability",6
"Pr_E",0.0738760223873878,0.076632883229095,0.0162462773681059,0.118594270571588,"Pr_E",6
